奉恩將軍西清額,旭英第七子。乾隆四十九年，封奉恩將軍。嘉慶五年，卒。
奉恩將軍佛照,尼雅翰第四子。雍正六年，襲奉恩將軍。九年，卒。
奉恩將軍多義,尼雅翰第五子。雍正十年，襲奉恩將軍。乾隆四十一年，卒。
奉恩將軍鞥額穆,多義第三子。乾隆四十三年，襲奉恩將軍。嘉慶十二年，卒。
奉恩將軍魁秀,鞥額穆第一子。嘉慶十二年，襲奉恩將軍。十七年，卒。
三等奉國將軍舒圖,富良第三子。雍正三年，封三等奉國將軍。五年，卒。
奉恩將軍托禪,舒圖第二子。雍正五年，襲奉恩將軍。乾隆三十二年，因病告退。
奉恩將軍倭克經額,托禪第二子。乾隆三十三年，襲奉恩將軍。嘉慶二十五年，緣事革退。
三等奉國將軍斐新,富良第五子。雍正四年，封三等奉國將軍。乾隆六年，卒。
奉恩將軍多隆額,斐新第一子。雍正十三年，封奉恩將軍。乾隆二十一年，卒。
奉恩將軍祿興,多隆額第五子。乾隆二十一年，襲奉恩將軍。五十三年，卒。
奉恩將軍倭昇額,祿興第一子。乾隆五十五年，襲奉恩將軍。嘉慶十三年，卒。
奉恩將軍福松阿,倭昇額第一子。嘉慶十四年，襲奉恩將軍。道光十九年，卒。
奉恩將軍瑞慶,福松阿第三子。道光十九年，襲奉恩將軍。同治十二年，卒。
奉恩將軍連喜,瑞慶第一子。同治十二年，襲奉恩將軍。光緒三十二年，卒。
奉恩將軍裕德,連喜第一子。光緒三十三年，襲奉恩將軍。
三等奉國將軍哈富喀,富良第八子。雍正三年，封三等奉國將軍。八年，卒。
奉恩將軍托錫,哈富喀第二子。雍正九年，襲奉恩將軍。乾隆三十九年，卒。
奉恩將軍和倫泰,托錫第一子。乾隆四十年，襲奉恩將軍。五十六年，卒。
奉恩將軍素興,和倫泰第二子。乾隆五十六年，襲奉恩將軍。嘉慶四年，卒。
奉恩將軍秀良,素興第一子。嘉慶四年，襲奉恩將軍。咸豐三年，卒。襲次已盡，不襲。
貝勒德格類,太祖第十子。明萬曆二十四年生，繼妃富察氏出，為皇五子莽古爾泰同母弟。初稱台吉，天命十一年九月，封貝勒。天聰五年七月，管戶部事。天聰九年十月初二日夜暴疾，卒。以謀逆發覺奪貝勒，子孫降紅帶子。以其妻給其弟阿濟格。康熙五十二年，聖祖命復宗籍，賜紅帶。嫡妻博爾濟吉特氏，額爾濟格台吉之女；繼妻博和羅克氏，褚祜里他布囊之女；三娶妻博爾濟吉特氏，翁農台吉之女；妾姓氏、父名未詳。 第一子德克西克{天命元年三月二十四日生，母嫡妻嫡妻博爾濟吉特氏，額爾濟格台吉之女；順治二年乙酉陣亡，年三十一歲。嫡妻納喇氏，庫都納之女；妾王氏，王達之女；妾張氏，張杭塞之女；二子：長子克西克，次子男品級碩塞。}，第二子費雅塔{天聰元年五月二十四日子時生，母繼妻博和羅克氏，褚祜里他布囊之女；卒年未詳。}，第三子瓦克扎{天聰六年十二月二十七日辰時生，母妾姓氏、父名未詳，卒年未詳。 }，
鎮國將軍巴布海,太祖第十一子。初授牛錄章京。天聰八年，授一等甲喇章京。崇德四年，授梅勒額真，封鎮國將軍。崇德八年，世祖即位，有為飛書訐譚泰者，投一等公塔瞻第。鞫其仆，謂得之巴布海家。內監逮訊，不承，以罪並子阿喀喇處死。籍其家予譚泰。順治九年，譚泰誅，乃以其孥及遺產畀巴布泰。 嫡妻瓜爾佳氏，吳爾堪之女；繼妻蘇穆祿氏，公楊古里之女；妾李氏，李文祥之女；妾張氏，張二之女。 子阿喀喇【天命十年八月初五日巳時生，母嫡妻瓜爾佳氏，吳爾堪之女；崇德八年八月因父罪處死，年十八歲。嫡妻納喇氏，莽佳之女，無子女。】，
英親王阿濟格,太祖第十二子。天命十一年，初授台吉，以功封貝勒。崇德元年，以功晉武英郡王。順治元年，晉英親王。八年，以罪處死，其子孫降為庶人。尋以其次子傅勒赫無罪，仍入宗室。乾隆四十三年，將其後人伯爾遜等各支子孫列入宗譜。嫡妻西林覺羅氏，祜新之女；繼妻科爾沁博爾濟吉特氏，炳圖郡王孔果洛之女；妾李氏，李士興之女；妾愉氏，愉春仁之女。第一子固山貝子和度，第二子追封奉恩鎮國公傅勒赫，第三子伯爾遜【天聰明才智五年辛未正月初三日酉時生，母妾姓氏、父名未詳，康熙十四年乙卯九月二十八日卯時卒，年四十五歲。嫡妻鈕祜祿氏，二等侍衛齊泰之女；妾田氏，田二之女妾李氏，李達之女；妾金氏，金惟孜之子；妾王氏，王達之女。十子：長子魁格，次子關圖，三子阿爾博，四子阿爾晉，五子羅克多歡，六子阿爾丹，七子圖吉，八子特清額，九子索德，十子圖蘭泰。】，第四子門柱【天聰七年癸酉五月二十八日戌時生，母妾姓氏、父名未詳，天聰九年乙亥八月十三日卯時卒，年三歲。】，第五子已革和碩親王樓親，第六子墨爾遜【天聰九年乙亥六月二十二日子時生，母繼妻科爾沁博爾濟吉特氏，炳圖郡王孔果洛之女；卒年未詳。嫡妻瓜爾佳氏，都統和岳圖之之女。無子女。】，第七子索爾科【崇德五年庚辰正月二十五日子時生，母妾李氏，李士興之女；崇德七年壬午五月十六日卯時卒，年三歲。】，第八子佟塞【崇德六年辛巳三月二十日酉時生，母妾姓氏、父名未詳，康熙四十年辛巳十月初九日丑時卒，年六十一歲。嫡妻鄂卓氏，鄂海之女；妾王氏，王達之女；妾張氏，張祥之女。三子：長子云秀，次子云庄，三子常明珠。】，第九子瑚禮【崇德六年辛巳七月初七日午時生，母妾姓氏，父名未詳。卒年未詳，無子女。】，第十子鄂拜【崇德八年癸未二月初一日午時生，母妾姓氏、父名未詳，康熙二十八年己巳八月初一日巳時卒，年四十七歲。嫡妻郭絡羅氏，散騎郎阿海之女；媵妾李氏，李三之女；媵妾張氏，張自福之女；妾喬氏，喬大之女。十一子：長子云岱，次子順岱，三子科拜，四子勇藹，五子紹泰，六子韜海，七子佛泰，八子韜泰，九子舒爾洪額，十子隆岱，十一子觀順。】，第十一子班進泰【順治元年甲申四月二十二日卯時生，母妾姓氏、父名未詳，康熙四十五年丙戌七月十五日酉時卒，年六十三歲。嫡妻納喇氏，侍衛班領舒淑之女；媵妾曹氏，曹達之女。三子：長子穆楚，次子額爾庚額，三子額爾定額。】，
貝子和度,阿濟格第一子。天命四年己未十一月十九日亥時生，母嫡妻西林覺羅氏，褚新之女；初封輔國公。順治元年，晉貝子。三年丙戌十月初七日亥時，卒。無嗣。嫡夫人扎魯特氏，常起布之女，無子女。
鎮國公傅勒赫,阿濟格第二子。天聰二年戊辰十二月十六日戌時生，母繼妻科爾沁博爾濟吉特氏，炳圖郡王孔果洛之女；順治二年，封鎮國公。八年，以父罪黜宗室，為庶人。十七年庚子四月初三日申時，卒。十八年，復入宗室。康熙元年，追封鎮國公。嫡妻科爾沁博爾濟吉特氏，和碩卓立克圖親王吳克善之女；繼妻博爾濟吉特氏，弼漢桑噶爾塞台吉之女。三子：長子魯克度，次子奉恩輔國公構孳，三子已革輔國公綽克都。 L@/+u+j0
輔國公構孳,傅勒赫第二子。順治十八年，封輔國公。康熙五年，卒。
鎮國將軍訥延,構孳第一子。康熙五年，襲鎮國將軍。六年，卒。無嗣。
輔國公綽克都,傅勒赫第三子。康熙四年，封輔國公。三十七年，緣事革退。
輔國公素嚴,綽克都第一子。康熙二十一年，封輔國公。三十一年，卒。
三等鎮國將軍素拜,素嚴第三子。康熙三十一年，襲三等鎮國將軍。三十四年，卒。無嗣。
輔國公興綬,綽克都子。追封輔國公。
輔國公九成,興綬子。乾隆十一年，襲輔國公。二十六年，緣事革退。
三等鎮國將軍謙德,九成第四子。乾隆二十六年，襲三等鎮國將軍。三十二年，卒。無嗣。
三等奉恩將軍順德,九成第七子。乾隆三十二年，襲奉恩將軍。嘉慶元年，休致。
三等奉恩將軍華英,順德第一子。嘉慶三年，襲奉恩將軍。道光十年，緣事革退。
三等奉恩將軍華德,碩臣子。道光十一年，襲華英之奉恩將軍。二十七年，卒。
奉恩將軍秀平,華德第一子。道光二十八年，襲奉恩將軍。咸豐五年，卒。
奉恩將軍良?,秀平第二子。咸豐六年，襲奉恩將軍。光緒十六年，卒。
奉恩將軍隆煦,良?第二子。光緒十六年，襲奉恩將軍。宣統元年，卒。
奉恩將軍存耀,隆煦子。宣統二年，襲奉恩將軍。
輔國公普照,綽克都第八子。康熙三十七年，襲輔國公。五十二年，緣事革退。雍正元年，以功復封輔國公。二年，卒。
輔國公亨新,普照子。雍正二年，襲輔國公。十年，追論父罪，革爵。
輔國公經照,綽克都第九子。康熙五十二年，襲輔國公。雍正十年，緣事革退。
輔國恭簡公璐達,綽克都孫，隆德子。雍正十年，襲輔國公。乾隆六年，卒。諡曰恭簡。
輔國公麟魁,璐達第一子。乾隆六年，襲輔國公。十年，緣事革退。
親王樓親,阿濟格第五子。天聰八年甲戌九月十九日亥時生，母繼妻科爾沁博爾濟吉特氏，炳圖郡王孔果洛之女；原封親王，順治十八年辛丑十月初四日以罪削爵，賜自盡。無子女。
輔國介直公賴慕布,太祖第十三子。明萬曆三十九年十二月二十四日已時生，庶妃西林覺羅氏出。天聰八年四月，授備御。順治二年，封奉恩將軍。二年五月十一日巳刻，卒。十年五月，追封輔國公，諡曰介直。嫡妻納喇氏，博多禮之女；妾富察氏，富德之女；另室所居科爾沁博爾濟吉特氏，海隆之女；妾楊氏，楊文興之女。 vX&Nh"0H&第一子已革輔國公來祜，
輔國公來祜,賴慕布子。天命十年六月初六日午時生，母嫡妻納喇氏，博多禮之女；順治三年，襲奉恩將軍。尋封三等鎮國將軍。八年，晉輔國公。康熙八年，緣事革退。康熙三十三年三月十一日酉時卒，嫡妻伊爾根覺羅氏，博濟赫費揚古之女；繼妻博爾濟吉特氏，子國爾布錫之女；三娶妻瓜爾佳氏，鰲拜之女；四娶妻富察氏，安珠禮之女；五娶妻王佳氏，王基重之女；妾李氏，塞勒之女；妾李氏，李豪之女；妾王氏，王格之女。十子：長子頭等侍衛品級勒克德，次子寶通，三子輔國將軍來度，四子類達，五子已革三等侍衛受珠，六子來舒，七子愛都，八子受綬，九子愛撫，十子來保。 {5:y,=Y
三等輔國將軍來度,來祜第三子。康熙六年，封三等輔國將軍。二十年，卒。
奉恩將軍扎昆泰,二等侍衛愛珠子。乾隆元年，襲來祜之奉恩將軍。二十二年，卒。
奉恩將軍永武,扎昆泰第一子。乾隆二十二年，襲奉恩將軍。二十八年，卒。
睿忠親王多爾袞,太祖第十四子。以功封貝勒。崇德元年，晉睿親王。順治七年，薨。帝追尊廟號成宗。諡懋德修道廣業定功安民立政誠敬義皇帝。以罪追奪王爵，黜宗室。乾隆四十三年，復睿親王爵，諡曰忠，配享太廟。正福晉，成宗義皇后，博爾濟吉特氏。蒙古科爾沁部落出身，吉桑阿爾寨之女。死後原本被多爾袞私諡為「敬孝忠恭元妃」，後因多爾袞被追諡為皇帝而得到皇后封號。繼福晉，佟佳氏。建州女真本部出身，尚書蒙格圖之女。繼福晉，博爾濟吉特氏。蒙古扎爾莽部落出身，根杜爾台吉之女。繼福晉，博爾濟吉特氏。蒙古科爾沁部落出身，拉布什西台吉之女。繼福晉，博爾濟吉特氏。蒙古科爾沁部落出身，索諾布台吉之女，孝庄文皇后族妹。原為豪格之妻，因豪格與多爾袞政治鬥爭失敗，在豪格死後被多爾袞娶之。繼福晉，李氏。李氏朝鮮出身，朝鮮金林郡公李開音之女。多爾袞十（十一）位妻妾中，只有李氏為他生下獨生女?愛新覺羅·東莪。側福晉，公齊特氏，察哈爾部落出身，民族及父親記載不明。側福晉，博爾濟吉特氏，蒙古族出身，部落名稱及父親記載不明。側福晉，濟爾莫特氏，出身記載不明。側福晉，李氏。李氏朝鮮出身，李世緒之女。 女愛新覺羅·東莪，多爾袞親生獨生女，生母為繼福晉朝鮮李氏。據說其名?東莪為多爾袞為紀念同父異母姐妹?東果格格而取。 
貝勒多爾博，多鐸第五子。母繼福晉科爾沁博爾濟吉特氏，索諾穆台吉之女；順治十四年，封貝勒。康熙十一年，薨。乾隆四十三年，命為多爾袞後。嫡夫人伊爾根覺羅氏，法喀之女；庶夫人馬氏，馬喇之女；庶夫人劉氏，劉伯魯之女；庶夫人王氏，轍格之女。三子：長子鄂爾博，次子追封和碩睿親王蘇爾發，三子蘇爾達。
睿親王蘇爾發，多爾博第二子。生母為庶福晉劉氏，劉伯魯之女。康熙三年五月十九日生。康熙十二年，襲貝子。三十七年三月授鑲黃旗滿洲都統；三十九年，降鎮國公。四十七年，卒。乾隆二十七年，追封信郡王。四十三年，追封睿親王。
睿親王塞勤，蘇爾發第一子。康熙三十八年八月，封三等鎮國將軍。四十七年七月，襲輔國公。五十六年授鑲白旗滿洲都統；六十一年十月解都統任。 雍正七年五月十四日，卒。乾隆二十七年，追封信郡王。四十三年，追封睿親王。
輔國簡僖公齊努渾，塞勤第一子。雍正七年，襲輔國公。乾隆九年，卒。諡曰簡僖。
睿親王功宜布，塞勤第五子。乾隆九年，襲輔國公。十一年，卒。諡曰恪勤。二十七年，追封信郡王。四十三年，追封睿親王。
睿恪親王如松，功宜布第三子。生於乾隆二年二月十六日，乾隆十一年六月，襲輔國公。二十年賞散秩大臣職銜、乾清門行走。二十二年正月署理正白旗領侍衛內大臣、宗人府右宗人，二月授兵部侍郎。二十四年九月署理兵部尚書，十二月授正黃旗領侍衛內大臣。二十五年十月授綏遠城將軍，二十六年調補西安將軍。二十七年，襲信郡王。爾後授予宗人府右宗正、管理宗人府銀庫和粘杆處事務。三十五年十一月初十日，薨。諡曰恪。四十三年，追封睿親王。繼福晉佟佳氏，生於乾隆2年，納穆圖之女。死於嘉慶14年，72歲。
睿恭親王淳穎，如松子。生於乾隆二十六年九月二十一日，乾隆三十六年，襲輔國公。四十三年正月，襲睿親王。後擔任過宗人府宗令、左總政、右總政、玉牒館副總裁、正黃旗漢軍都統、鑲紅旗滿洲都統、正黃旗領侍衛內大臣、總理正紅旗覺羅學、理藩院事務，授御前大臣等職，嘉慶五年，薨。諡曰恭。嫡福晉富察氏，傅恆之女。有九子。長子和碩睿慎親王寶恩，次子禧恩，
睿慎親王寶恩，淳穎第一子。嘉慶四年，封不入八分輔國公。六年，襲睿親王。七年，薨。諡曰慎。
鎮國將軍禧恩，淳穎第二子。母側福晉李佳氏。嘉慶七年，封鎮國將軍。道光十二年，晉不入八分輔國公。二十六年，緣事降鎮國將軍。咸豐二年，卒。
輔國將軍榮壽，禧恩第一子。道光六年，封輔國將軍。同治四年，卒。
二等奉國將軍克誠，榮壽第一子。同治五年，襲二等奉國將軍。六年，卒。無嗣。
三等輔國將軍崇壽，禧恩第四子。道光十八年，封三等輔國將軍。二十九年，卒。無嗣。
輔國將軍徵壽，禧恩第五子。道光二十四年，封輔國將軍。同治四年，卒。
二等奉國將軍琳誠，徵壽子。同治四年，襲二等奉國將軍。光緒二十七年，卒。
奉恩將軍文斌，琳誠第一子。光緒二十八年，襲奉恩將軍。
輔國將軍興壽，禧恩第八子。咸豐六年，封輔國將軍。同治八年，卒。
奉國將軍德寬，興壽第五子。同治八年，襲奉國將軍。光　緒十年，卒。無嗣。
二等鎮國將軍惠恩，淳穎第三子。嘉慶十年，封二等鎮國將軍。十三年，降三等。尋卒。
三等輔國將軍安壽，惠恩第一子。道光九年，封三等輔國將軍。同治十年，卒。
三等奉國將軍惟誠，安壽第一子。同治十年，襲三等奉國將軍。光緒二年，卒。無嗣。
睿勤親王端恩，淳穎第四子。嘉慶七年，襲睿親王。道光六年，薨。諡曰勤。
睿僖親王仁壽，端恩第六子。嘉慶十五年三月初六日生。道光三年賞戴花翎；道光六年八月，襲睿親王。七年擔任正白旗總族長；後擔任鑲白旗漢軍都統、正紅旗蒙古都統等職，管理過左右兩翼宗學，做過玉牒館總裁、鑲黃旗領侍衛內大臣。同治三年十月初十日，薨。諡曰僖。
睿愨親王德長，仁壽第三子。咸豐七年，封二等鎮國將軍。同治四年，襲睿親王。光緒二年，薨。諡曰愨。
睿敬親王魁斌，德長第四子。生於同治三年九月十二日，光緒二年，襲睿親王。卒於民國四年二月，
睿親王中銓，魁斌第一子，嫡妻蒙古親王那彥圖之女。生於光緒十八年四月十七日，卒於一九三九年秋。中銓之弟中銘和妻子李佳氏，先於1922年和1930年去世。
二等鎮國將軍德隆，仁壽第四子。同治七年，封二等鎮國將軍。光緒二十一年，卒。無嗣。
鎮國將軍德岫，仁壽第六子。光緒六年，封鎮國將軍。宣統二年，卒。
鎮國將軍文光，德岫子。宣統二年，襲鎮國將軍。
二等鎮國將軍德?，仁壽第七子。光緒十二年，封二等鎮國將軍。三十年，卒。
輔國將軍文華，德?子。光緒三十年，襲輔國將軍。
二等鎮國將軍德鋼，仁壽第八子。光緒三年，封二等鎮國將軍。十年，卒。無嗣。
二等鎮國將軍裕恩，淳穎第六子。嘉慶十四年，封二等鎮國將軍。道光二十五年，卒。無嗣。
三等鎮國將軍吉恩，淳穎第八子。嘉慶十七年，封三等鎮國將軍。同治七年，卒。
三等輔國將軍岳壽，吉恩子。道光二十四年，封三等輔國將軍。光緒十一年，卒。無嗣。
二等鎮國將軍謙恩，淳穎第九子。嘉慶二十一年，封二等鎮國將軍。咸豐七年，卒。無嗣。
豫通親王多鐸，太祖第十五子。初封貝勒。天聰二年，從太宗伐多羅特部有功，以功賜號額爾克楚虎爾。崇德元年，封豫親王。掌禮部事。四年五月，緣事降貝勒。七年，晉豫郡王。順治元年四月，從睿親王多爾袞入關，破李自成，復晉豫親王。二年，以功加德豫親王。命為定國大將軍，南征，定懷慶。三年，命為揚威大將軍，偕承澤郡王碩塞討蘇尼特部騰機思、騰機特等。四年，加封輔政叔德豫親王。六年三月，薨。九年三月，坐多爾袞罪追降郡王，諡曰通。乾隆四十三年正月，復豫親王。以佐命殊功，配享太廟。　嫡福晉，也稱元妃，即元配大福晉，博爾濟吉特氏，明安台吉之女。繼福晉，也稱繼妃，即繼室大福晉，名達哲，科爾沁博爾濟吉特氏。達哲福晉為蒙古科爾沁和碩福妃之女。是多爾袞五娶福晉巴特瑪的親姐妹。子二，次子多尼，襲爵；第五子多爾博，過繼多爾袞。蒙古科爾沁和碩福妃，清人稱之為科爾沁大妃，是孝端文皇后之母，孝庄文皇后和敏惠恭和元妃之祖母。其第一任丈夫是科爾沁部札日固齊（斷事官）、貝勒莽古斯，是孝端文皇后之生父，孝庄文皇后和敏惠恭和元妃之祖父。莽古斯去世後，科爾沁大妃復嫁給莽古斯之第三子台吉索諾木。崇德二年，皇太極追封莽古斯為和碩福親王，冊封科爾沁大妃為和碩福妃。 三繼福晉，那拉氏，參領衍達爾漢之女。側福晉，佟佳氏，輕車都尉雅克秦之女。子二，第四子察尼；第七子洞鄂。 側福晉，伊爾根覺羅氏，護軍統領阿達海之女。 庶福晉，佟佳氏，參領素達塞之女。 子一，第八子費揚古。庶福晉，那拉氏，費揚古之女。 子一，長子珠蘭。庶福晉，瓜爾佳氏，甘楚漢之女。 子一，第三子巴克度。庶福晉，瓜爾佳氏，塔克泰之女。 子一，第六子扎克度。妾，那拉氏，法哈之女。妾，良氏，良國柱之女。多鐸子八:長子 珠蘭天聰九年乙亥十月二十二日子時生。母庶福晉納喇氏，費揚古之女。 康熙四年乙巳二月二十八日巳時卒，年三十一。嫡福晉伊爾根覺羅氏，輕車都尉巴祿之女；繼福晉舒穆祿氏，男阿音圖之女。無子女。次子，多尼，和碩豫宣和親王。第三子 巴克度崇德五年庚辰四月十四日辰時生。母庶福晉瓜爾佳氏，甘楚漢之女。康熙七年戊申三月初四日寅時卒，年三十九歲。嫡福晉溫都氏，佐領土完整西爾太之女；繼福晉伊爾根覺羅氏，護軍參領昂吉圖之女；妾劉氏，劉二之女。子一人：度蟾。第四子 察尼 輔國恪僖公,第五子 多爾博 過繼多爾袞,第六子，扎克度。順治元年甲申四月十九日子時生。 　　母庶福晉瓜爾佳氏，塔克泰之女。 　　康熙二十八年己巳二月初二日子時卒，年四十       六。嫡福晉烏蘇氏，前鋒參領祜錫布之女；繼福晉宜特墨氏，沃赫之女。子三人：長子扎海，次子扎穆，三子扎格。第七子，董額，多羅信郡王。第八子 費揚古
豫宣和親王多尼，多鐸第二子。崇德元年丙子十月十八日卯時生。母繼福晉博爾濟吉特氏，索諾穆台吉之女。 崇德七年，封郡王。順治六年，襲親王，賜號曰信。順治九年，坐父罪降郡王。順治十五年，任安元靖寇大將軍，偕平郡王羅科鐸率軍南下，與明將白文選、李定國等戰於雲南永昌、騰越，有軍功。十八年年辛丑正月初四日辰時，薨。諡曰宣和。乾隆四十三年追封豫親王，嫡福晉科爾沁博爾濟吉特氏，和碩圖謝圖親王巴都爾之女。繼福晉伊爾根覺羅氏，子塞赫伊之女；側福晉王氏，王廷祚之女；庶福晉伊爾根覺羅氏，祜錫泰之女；妾濟氏，薩祿之女；妾索綽絡氏，喀爾布之女。子七人：長子鄂尼；次子追封和碩豫親王鄂扎；三子鄂臘；四子奉國將軍鄂明；五子鄂興；六子鄂雲；七子鄂林。
信郡王鄂扎，多尼第二子。順治十八年，襲信郡王。康熙十四年，命為撫遠大將軍，討察哈爾布爾尼。察哈爾平，撫餘黨一千三百餘戶。師還，上迎勞南苑，詔褒功，賜金百、銀五千。尋掌宗人府事。二十九年，副恭親王常寧備噶爾丹。三十五年，從上北征，領正白旗營。三十八年，以惰，解宗人府.康熙四十一年，薨。
三等奉國將軍扎爾布，鄂扎第一子。康熙二十五年，封三等奉國將軍。四十年，卒。
奉恩將軍基綬，扎爾布第一子。康熙四十年，襲奉恩將軍。雍正十年，卒。
奉恩將軍茂惠，基綬第二子。雍正十年，襲奉恩將軍。乾隆二十四年，卒。
奉恩將軍盛福，茂惠第一子。乾隆二十四年，襲奉恩將軍。五十三年，卒。
奉恩將軍哲崇額，盛福第一子。乾隆五十三年，襲奉恩將軍。道光十四年，卒。
奉恩將軍賡瑞，哲崇額第一子。道光十四年，襲奉恩將軍。光緒二十五年，卒。襲次巳盡，不襲。
豫愨親王德昭，鄂扎第五子。康熙四十五年，襲信郡王。雍正間，歷左、右宗正。乾隆二十七年，薨。諡曰愨。四十三年，追封豫親王。
奉恩將軍華齡，德昭第二子。乾隆十一年，封奉恩將軍。二十五年，緣事革退。
豫良親王修齡，德昭第十五子。功宜布剛去世時，以修齡襲其爵為輔國公，授左宗正。乾隆三十六年，襲信郡王。四十三年，以多鐸戰功為開國諸王之最，追復親王，令修齡仍襲豫親王。五十一年，薨。諡曰良。
豫親王裕豐，修齡第一子。乾隆五十一年，襲豫親王。嘉慶十九年，林清之變，所屬有從亂者，緣事革爵。
不入八分輔國公裕瑞，修齡第二子。乾隆六十年，封不入八分輔國公。嘉慶十八年，緣事革退。
豫親王裕興，修齡第三子。乾隆六十年，封不入八分輔國公。嘉慶十九年，襲豫親王。二十五年，奸婢，婢自殺。革退。幽禁。三年後釋之。 
豫厚親王裕全，修齡第五子。嘉慶四年，封不入八分輔國公。二十五年，襲豫親王。道光二十年，薨。諡曰厚。
豫慎親王義道，裕全第二子。道光二十一年，襲豫親王。歷內大臣、左宗正。同治七年，薨。諡曰慎。
豫誠親王本格，義道第一子。同治七年，襲豫親王。亦歷內大臣、左宗正。德宗大婚，賜四團正龍補服。 光緒二十四年，薨。諡曰誠。
豫親王懋林，盛照子，本格嗣子。光緒二十五年，襲豫親王。
豫親王端鎮，懋林子,宣統元年五月十五日午時生,民國二年癸丑襲和碩豫親王。
二等鎮國將軍義閱，裕全第三子。道光三十年，封二等鎮國將軍。咸豐七年，卒。無嗣。
二等鎮國將軍義寶，裕全第四子。咸豐元年，封二等鎮國將軍。同治四年，卒。無嗣。
奉恩將軍英齡，德昭第十六子。乾隆三十五年，封奉恩將軍。嘉慶三年，卒。
奉恩將軍福祥阿，英齡第二子。嘉慶四年，襲奉恩將軍。十年，卒。
奉恩將軍咸宜，福祥阿第一子。嘉慶十年，襲奉恩將軍。咸豐八年，卒。無嗣。
三等奉國將軍鄂明，多尼第四子。康熙九年，封三等奉國將軍。三十八年，卒。
奉恩將軍扎克丹，鄂明第一子。康熙三十九年，襲奉恩將軍。六十年，卒。
奉恩將軍瑪察，扎克丹第一子。康熙六十一年，襲奉恩將軍。乾隆十一年，卒。
奉恩將軍保綱，瑪察第一子。乾隆十一年，襲奉恩將軍。二十三年，卒。
奉恩將軍博爾和，保綱嗣子。乾隆二十四年，襲奉恩將軍。四十四年，卒。
奉恩將軍扎拉芬，鄂明第五子。康熙五十一年，封奉恩將軍。乾隆二十五年，卒。
濟昌，扎拉芬子。
奉恩將軍慶麟，濟昌嗣子。乾隆二十五年，襲奉恩將軍。五十六年，卒。
輔國恪僖公品級察尼，多鐸第四子。崇德六年辛巳三月初八日未時生。母側福晉佟佳氏，輕車都尉雅克秦之女。順治十二年，封貝勒。康熙七年，授左宗正。康熙十二年，吳三桂反，從順承郡王勒爾錦南征，參贊軍務。師次荊州，三桂已陷岳州。察尼偕將軍尼雅翰舟師進，三桂將吳應麒引七萬人自陸路來拒，擊卻之。師次七里山，發炮沈其舟十餘。方暑，還駐荊州。十四年，佩靖寇將軍印，援谷城。十五年，三桂移南漳、彝陵兵往長沙，勒爾錦令察尼還荊州，渡江趨石首，據虎渡口，擊敵太平街，斬三百餘級。翌日再出，遇伏，敗還荊州。詔責其無能。十七年八月，貝勒尚善薨於軍，命察尼代為安遠靖寇大將軍，規岳州。十八年正月，三桂將王度沖、陳珀等以舟師降，應麒棄城遁，遂復岳州。降官吏六百餘、兵五千餘，獲舟六十五、炮六百四十有奇。二月，安親王岳樂自長沙進取衡州，察尼發綠旗兵濟師，尋復湘陰、安鄉。四月，命自常德征辰龍關，澧州以南諸軍聽調度。十九年三月，克辰龍關，復辰州。詔暫屯沅州。六月，詔以貝子彰泰率師下雲南，察尼勞苦久，率滿洲兵還京師。吏議退縮罪，削爵職、籍其家、幽禁，革爵。二十四年，授奉天將軍。 二十七年戊辰九月二十二日亥時，卒。以輔國公品級殯葬，諡曰恪僖。嫡福晉博爾濟吉特氏，布達錫希布台吉之女；繼福晉赫舍里氏，輔政大臣、一等公索尼之女；妾伊爾根覺羅氏，副都統噶爾齊之女；妾納喇氏，辛達禮之女；妾克伊克勒氏，拜祜之女；妾瓜爾佳氏，漢實惠祜之女；妾劉氏，劉紹德之女；妾戴氏，烏濟馬哈之女；妾韓氏，乃格之女；妾伊爾根覺羅氏，噶達渾之女；妾王氏，王鳳之女；妾謝氏，編塞之女。子十一人：長子宗學總管、奉恩將軍查達；次子查明；三子布爾賽；四子扎克都爾；五子已革奉恩將軍德福；六子察納；七子常國佐；八子已革侍衛德昌；九子已革侍衛常赫；十子瓦爾喀；十一子額耨赫。
奉恩將軍查達，察尼第一子。康熙十年，封奉恩將軍。四十三年，緣事革退。雍正二年，復封奉恩將軍。乾隆十三年，卒。
奉恩將軍德福，察尼第五子。康熙十五年，封奉恩將軍。三十七年，緣事革退。
豫親王洞鄂，多鐸第七子。順治四年丁亥正月初五日申時生。母側福晉佟佳氏，輕車都尉雅克泰之女。順治十八年，封貝勒。康熙十三年，命為定西大將軍，討叛將王輔臣。康熙十五年，命大學士圖海視師，改授董額固山額真，聽圖海節制。康熙十六年，以無軍功革退。三十一年，授正藍旗固山額真；四十二年，襲信郡王。四十五年丙戌六月二十五日寅時，薨。乾隆四十三年，追封豫親王。
奉國將軍鄂齊禮，洞鄂第一子。康熙三十七年，封奉國將軍。乾隆四年，卒。
奉恩將軍鄂泰，鄂齊禮第三子。康熙五十一年，封奉恩將軍。雍正四年，緣事革退。
奉恩將軍費揚阿，鄂齊禮第五子。康熙五十一年，封奉恩將軍。五十八年，卒。無嗣。
奉恩將軍積善，鄂齊禮第十五子。乾隆五年，襲奉恩將軍。二十年，卒。
奉恩將軍烏爾恭阿，積善阿二子。乾隆二十年，襲奉恩將軍。四十六年，因病革退。
